date,nav_total,nav_zero_cost_fixed_trades,fee_today,cum_fee
2024-12-31,1000000.0,1000000.0,0.0,0.0
2025-01-02,998503.2386500001,1000000.0000000001,1496.7613499999998,1496.7613499999998
2025-01-03,975856.2021999999,977607.44,254.47645000000003,1751.2377999999997
2025-01-06,971098.3592649997,973191.4699999997,341.872935,2093.1107349999997
2025-01-07,987516.3133399999,989925.8199999998,316.39592500000003,2409.5066600000005
2025-01-08,984597.072855,987278.1900000001,271.61048500000004,2681.1171450000006
2025-01-09,980652.3174049999,983668.6899999998,335.25545,3016.3725950000003
2025-01-10,955850.29941,959246.23,379.55799499999995,3395.93059
2025-01-13,957758.3982299996,961521.1599999996,366.83118,3762.76177
2025-01-14,991369.235615,995516.31,384.31261500000005,4147.074384999999
2025-01-15,988316.3053649999,992854.95,391.57025000000004,4538.644634999999
2025-01-16,990281.8022799998,995179.8799999998,359.433085,4898.077719999998
2025-01-17,986921.78562,992144.14,324.27666,5222.354379999999
2025-01-20,995431.2138599999,1000984.2,330.63176,5552.986139999998
2025-01-21,984515.9069449999,990441.23,372.33691500000003,5925.323054999998
2025-01-22,974564.4182199999,980843.8499999999,354.108725,6279.431779999998
2025-01-23,982862.1974949997,989484.7299999997,343.100725,6622.5325049999965
2025-01-24,991125.26063,998103.0800000001,355.28686500000003,6977.8193699999965
2025-01-27,998943.28927,1006274.1699999999,353.06136,7330.880729999996
2025-02-05,1009608.995085,1017328.4099999999,388.534185,7719.414914999996
2025-02-06,1022052.21288,1030151.57,379.942205,8099.357119999995
2025-02-07,1033388.84505,1041852.41,364.20783000000006,8463.564949999993
2025-02-10,1052614.14727,1061430.81,353.09778000000006,8816.662729999991
2025-02-11,1050042.0226399999,1059227.89,369.20463000000007,9185.867359999993
2025-02-12,1052738.1671099996,1062313.6099999996,389.57553,9575.442889999995
2025-02-13,1052376.7971649999,1062329.68,377.439945,9952.882834999993
2025-02-14,1045314.8427599998,1055662.0999999999,394.374405,10347.257239999994
2025-02-17,1062020.0340049998,1072765.2799999998,397.98875499999997,10745.245994999992
2025-02-18,1052787.48064,1063921.31,388.583365,11133.829359999992
2025-02-19,1059653.56889,1071194.28,406.88175000000007,11540.71110999999
2025-02-20,1059638.3868100003,1071595.3500000003,416.25208000000003,11956.96318999999
2025-02-21,1052018.375945,1064385.28,409.9408649999999,12366.90405499999
2025-02-24,1056103.274565,1068865.1400000001,394.96137999999996,12761.865434999989
2025-02-25,1048799.6118349999,1061941.3699999999,379.89273,13141.75816499999
2025-02-26,1057558.1939250003,1071090.4300000002,390.47791,13532.23607499999
2025-02-27,1062940.173345,1076872.33,399.92058,13932.156654999992
2025-02-28,1053138.088595,1067447.05,376.80475000000007,14308.961404999991
2025-03-03,1052692.7353349999,1067380.2399999998,378.54326000000003,14687.504664999993
2025-03-04,1052695.5510350002,1067762.2000000002,379.14430000000004,15066.648964999993
2025-03-05,1055755.217355,1071207.4400000002,385.57368,15452.222644999993
2025-03-06,1059980.473365,1075808.3699999999,375.67399,15827.896634999994
2025-03-07,1055985.9987800003,1072182.3600000003,368.464585,16196.361219999995
2025-03-10,1056489.4488799996,1073108.5499999996,422.7399,16619.101119999992
2025-03-11,1059319.9790650003,1076354.8800000004,415.79981499999997,17034.900934999994
2025-03-12,1059185.8314750001,1076611.6300000001,390.89759,17425.798524999995
2025-03-13,1057034.576025,1074867.23,406.85545,17832.65397499999
2025-03-14,1069376.0469600002,1087621.2700000003,412.5690650000001,18245.223039999993
2025-03-17,1071979.8622350001,1090627.08,401.99472499999996,18647.217764999987
2025-03-18,1071242.139775,1090287.09,397.73245999999995,19044.95022499999
2025-03-19,1071419.9244850003,1090862.5400000003,397.66529,19442.615514999983
2025-03-20,1069882.099945,1089703.0899999999,378.3745400000001,19820.990054999987
2025-03-21,1063394.61167,1083598.68,383.07827499999996,20204.068329999987
2025-03-24,1049002.972515,1069592.45,385.409155,20589.477484999985
2025-03-25,1052317.177505,1073291.36,384.70501,20974.182494999986
2025-03-26,1060137.4724,1081514.4300000002,402.77510499999994,21376.957599999987
2025-03-27,1054407.8742900002,1076182.59,397.75811,21774.71570999998
2025-03-28,1044980.07373,1067141.48,386.69056,22161.40626999998
2025-03-31,1035960.2491649998,1058499.5999999999,377.944565,22539.35083499998
2025-04-01,1046481.63796,1069418.1199999999,397.13120499999997,22936.482039999973
2025-04-02,1048284.10861,1071616.45,395.85935,23332.34138999998
2025-04-03,1050017.29856,1073722.91,373.27005,23705.61143999998
2025-04-07,958466.1581750001,982545.7300000001,373.9603850000001,24079.57182499998
2025-04-08,968994.5456749996,993438.0199999996,363.9024999999999,24443.474324999985
2025-04-09,988664.8595999999,1013477.7899999998,369.45607499999994,24812.93039999999
2025-04-10,1012008.67642,1037180.35,358.74318,25171.673579999995
2025-04-11,1014755.5327699998,1040294.6799999998,367.47364999999996,25539.147230000002
2025-04-14,1039885.6337500003,1065848.2500000002,423.46902000000006,25962.61625
2025-04-15,1044416.241365,1070776.4,397.542385,26360.158635
2025-04-16,1030419.9324449998,1057150.4299999997,370.3389200000001,26730.497555
2025-04-17,1036510.3226750001,1063618.8800000001,378.05977,27108.557325
2025-04-18,1034075.3033649998,1061570.8699999999,387.00931,27495.566635000003
2025-04-21,1045440.3932649998,1073293.39,357.43010000000004,27852.996735
2025-04-22,1045193.507365,1073419.68,373.17589999999996,28226.172635000006
2025-04-23,1052329.4989349998,1080936.39,380.71843,28606.891065000003
2025-04-24,1045173.3409149998,1074149.7099999997,369.47802,28976.369085000006
2025-04-25,1045422.7394950001,1074775.8,376.69142,29353.060505000005
2025-04-28,1036258.6260350001,1065999.1500000001,387.46346000000005,29740.523965000004
2025-04-29,1043160.3568749998,1073244.4899999998,343.60916,30084.133125
2025-04-30,1048028.1409249998,1078509.9899999998,397.71594999999996,30481.849075000006
2025-05-06,1065364.118865,1096231.6500000001,385.68206000000004,30867.531135000005
2025-05-07,1076629.7070149998,1107860.7799999998,363.54185,31231.072985000003
2025-05-08,1092248.3559249998,1123838.2099999997,358.78109,31589.854075
2025-05-09,1087351.17717,1119336.9100000001,395.878755,31985.732829999997
2025-05-12,1102488.5216549998,1134867.3399999999,393.0855150000001,32378.818345
2025-05-13,1101828.39868,1134593.77,386.552975,32765.37132
2025-05-14,1103602.367315,1136756.18,388.44136499999996,33153.812685000004
2025-05-15,1109884.0636399998,1143409.88,372.003675,33525.816360000004
2025-05-16,1105469.1702400001,1139357.1,362.11340000000007,33887.929760000006
2025-05-19,1123335.9250699999,1157619.0899999999,395.23517000000004,34283.16493
2025-05-20,1136909.94746,1171589.6199999999,396.50761,34679.672539999985
2025-05-21,1143938.0559299998,1179034.5099999998,416.78153,35096.45406999997
2025-05-22,1136205.30538,1171723.26,421.50055,35517.95461999995
2025-05-23,1121832.90076,1157699.94,349.08462000000003,35867.03923999995
2025-05-26,1128581.317475,1164766.22,317.863285,36184.902524999954
2025-05-27,1137391.965735,1173925.6500000001,348.78174,36533.68426499995
2025-05-28,1137450.3661149999,1174329.91,345.85961999999995,36879.543884999955
2025-05-29,1147934.9792499999,1185142.14,327.616865,37207.16074999995
2025-05-30,1141541.436625,1179053.8800000001,305.28262500000005,37512.443374999944
2025-06-03,1147050.2543649997,1184890.8399999996,328.14226,37840.585634999945
2025-06-04,1155735.1127899997,1193930.6799999997,354.981575,38195.56720999995
2025-06-05,1152018.6132299998,1190571.4999999998,357.31956,38552.88676999995
2025-06-06,1159648.4543499998,1198555.1499999997,353.80888,38906.69564999995
2025-06-09,1164479.316105,1203731.78,345.768245,39252.46389499996
2025-06-10,1161568.4884549999,1201179.6199999999,358.66765000000004,39611.13154499996
2025-06-11,1165026.2200149999,1204980.66,343.30844,39954.43998499996
2025-06-12,1163676.30855,1203979.63,348.881465,40303.32144999997
2025-06-13,1153519.7481799999,1194157.93,334.86037,40638.18181999996
2025-06-16,1160869.8129849997,1201829.0999999996,321.10519500000004,40959.28701499997
2025-06-17,1159844.074555,1201118.01,314.64842999999996,41273.935444999974
